Start sensors
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Try /dev/ttyACM0 
Open /dev/ttyACM0 
Print values
Sensor 0: 44.83
Sensor 1: 18.27
Sensor 2: 21.68
Sensor 3: 38.13
Sensor 0: 100.82
Sensor 1: 20.95
Sensor 2: 78.46
Sensor 3: 109.02
Sensor 0: 69.27
Sensor 1: 48.14
Sensor 2: 61.11
Sensor 3: 105.30
Sensor 0: 72.52
Sensor 1: 10.04
Sensor 2: 8.55
Sensor 3: 78.59
Sensor 0: 39.62
Sensor 1: 39.09
Sensor 2: 19.41
Sensor 3: 54.47
Sensor 0: 24.27
Sensor 1: 18.83
Sensor 2: 40.40
Sensor 3: 37.43
Sensor 0: 42.15
Sensor 1: 25.10
Sensor 2: 22.67
Sensor 3: 41.69
Sensor 0: 16.90
Sensor 1: 13.18
Sensor 2: 49.82
Sensor 3: 70.91
Sensor 0: 44.98
Sensor 1: 20.97
Sensor 2: 5.93
Sensor 3: 14.09
Sensor 0: 68.00
Sensor 1: 20.97
Sensor 2: 26.03
Sensor 3: 45.88
Sensor 0: 7.76
Sensor 1: 4.55
Sensor 2: 32.26
Sensor 3: 2.79
Sensor 0: -1.54
Sensor 1: -1.45
Sensor 2: -10.90
Sensor 3: 1.55
Sensor 0: -5.06
Sensor 1: 2.28
Sensor 2: -11.73
Sensor 3: 5.32
Sensor 0: -5.64
Sensor 1: 2.81
Sensor 2: -11.60
Sensor 3: 5.54
Sensor 0: -8.87
Sensor 1: 5.74
Sensor 2: -12.46
Sensor 3: 9.05
Sensor 0: -9.82
Sensor 1: 7.74
Sensor 2: -12.85
Sensor 3: 10.69
Sensor 0: -8.34
Sensor 1: 6.04
Sensor 2: -12.34
Sensor 3: 8.94
Sensor 0: -11.21
Sensor 1: 7.54
Sensor 2: -12.94
Sensor 3: 10.79
Sensor 0: -8.87
Sensor 1: 6.04
Sensor 2: -12.46
Sensor 3: 9.05
Sensor 0: -17.32
Sensor 1: 15.24
Sensor 2: -12.85
Sensor 3: 19.03
Sensor 0: -14.79
Sensor 1: 13.00
Sensor 2: -15.34
Sensor 3: 16.56
Sensor 0: -13.15
Sensor 1: 11.06
Sensor 2: -14.68
Sensor 3: 14.45
Sensor 0: -9.57
Sensor 1: 8.60
Sensor 2: -13.85
Sensor 3: 12.19
Sensor 0: -5.69
Sensor 1: 4.33
Sensor 2: -12.33
Sensor 3: 7.47
Sensor 0: -13.15
Sensor 1: 11.06
Sensor 2: -14.68
Sensor 3: 14.45
Sensor 0: 3.60
Sensor 1: -2.94
Sensor 2: -10.02
Sensor 3: 0.26
Sensor 0: 7.31
Sensor 1: -8.67
Sensor 2: -7.83
Sensor 3: -6.29
Sensor 0: 7.76
Sensor 1: -9.81
Sensor 2: -7.13
Sensor 3: -8.03
Sensor 0: 9.94
Sensor 1: -10.78
Sensor 2: -6.95
Sensor 3: -8.58
Sensor 0: 14.38
Sensor 1: -14.17
Sensor 2: -5.86
Sensor 3: -11.55
Sensor 0: 15.65
Sensor 1: -17.96
Sensor 2: -4.27
Sensor 3: -16.13
Sensor 0: 10.03
Sensor 1: -16.26
Sensor 2: -4.26
Sensor 3: -15.87
Sensor 0: 9.94
Sensor 1: -10.39
Sensor 2: -5.86
Sensor 3: -6.84
Sensor 0: 9.94
Sensor 1: -5.07
Sensor 2: -4.27
Sensor 3: -8.58
Sensor 0: 9.94
Sensor 1: -10.78
Sensor 2: -19.13
Sensor 3: 15.64
Sensor 0: -17.87
Sensor 1: -10.39
Sensor 2: -4.26
Sensor 3: 18.03
Sensor 0: -26.42
Sensor 1: -5.07
Sensor 2: 3.50
Sensor 3: 29.57
Sensor 0: -33.83
Sensor 1: 6.48
Sensor 2: 71.84
Sensor 3: 44.73
Up edge started
Sensor 0: -32.52
Sensor 1: 18.35
Sensor 2: 827.96
Sensor 3: 39.49
Up edge ended
Press start
Sensor 0: -27.22
Sensor 1: 492.19
Sensor 2: 156.95
Sensor 3: 30.49
Down edge started
Sensor 0: -26.42
Sensor 1: 70.87
Sensor 2: -13.17
Sensor 3: 29.74
Down edge ended
Press success
Sensor 0: -26.42
Sensor 1: 18.56
Sensor 2: -10.88
Sensor 3: 30.49
Sensor 0: -26.42
Sensor 1: 28.66
Sensor 2: 4.54
Sensor 3: 39.49
Up edge started
Sensor 0: 421.50
Sensor 1: 29.26
Sensor 2: 8.51
Sensor 3: 340.97
Up edge ended
Press start
Sensor 0: 109.80
Sensor 1: 20.09
Sensor 2: 2.71
Sensor 3: 130.82
Sensor 0: 3.97
Sensor 1: 2.68
Sensor 2: 1.18
Sensor 3: 18.20
Sensor 0: 4.11
Sensor 1: -0.01
Sensor 2: 27.69
Sensor 3: 24.50
Sensor 0: 32.90
Sensor 1: 16.94
Sensor 2: 4.54
Sensor 3: 303.93
Sensor 0: 46.43
Sensor 1: 20.09
Sensor 2: 8.51
Sensor 3: 661.08
Sensor 0: 27.78
Sensor 1: 47.90
Sensor 2: 27.69
Sensor 3: 695.78
Sensor 0: 1.57
Sensor 1: 5.98
Sensor 2: 326.21
Sensor 3: 273.85
Down edge started
Sensor 0: -2.94
Sensor 1: -0.39
Sensor 2: 24.47
Sensor 3: 23.74
Down edge ended
Press success
Sensor 0: 0.23
Sensor 1: 1.33
Sensor 2: 1.12
Sensor 3: 2.78
Sensor 0: 27.78
Sensor 1: 16.94
Sensor 2: 2.34
Sensor 3: 2.51
Sensor 0: 27.78
Sensor 1: 47.90
Sensor 2: -10.59
Sensor 3: -5.33
Sensor 0: 27.78
Sensor 1: 47.90
Sensor 2: -29.09
Sensor 3: -14.26
Up edge started
Sensor 0: 712.68
Sensor 1: 537.14
Sensor 2: -29.75
Sensor 3: -20.53
Up edge ended
Press start
Sensor 0: 468.04
Sensor 1: 375.35
Sensor 2: -26.24
Sensor 3: -15.29
Down edge started
Sensor 0: 117.48
Sensor 1: 105.42
Sensor 2: -8.42
Sensor 3: -3.53
Sensor 0: 5.04
Sensor 1: 4.90
Sensor 2: -2.71
Sensor 3: 2.93
Down edge ended
Press success
Sensor 0: -0.87
Sensor 1: 44.77
Sensor 2: -10.59
Sensor 3: 13.53
Sensor 0: 4.92
Sensor 1: 319.48
Sensor 2: -8.42
Sensor 3: -3.53
Sensor 0: 12.61
Sensor 1: 564.95
Sensor 2: -2.71
Sensor 3: 2.93
Sensor 0: 13.80
Sensor 1: 621.68
Sensor 2: 85.56
Sensor 3: 80.26
Up edge started
Sensor 0: 17.56
Sensor 1: 641.56
Sensor 2: 922.49
Sensor 3: 79.99
Sensor 0: 22.89
Sensor 1: 870.21
Sensor 2: 1273.85
Sensor 3: 106.53
Up edge ended
Sensor 0: 10.05
Sensor 1: 813.37
Sensor 2: 1165.32
Sensor 3: 101.82
Press start
Down edge started
Sensor 0: -1.16
Sensor 1: 289.62
Sensor 2: 398.35
Sensor 3: 41.74
Sensor 0: -0.17
Sensor 1: 621.68
Sensor 2: 881.06
Sensor 3: 79.99
Sensor 0: -0.48
Sensor 1: 1.75
Sensor 2: 4.70
Sensor 3: 4.73
Sensor 0: 8.23
Sensor 1: 2.78
Sensor 2: 5.07
Sensor 3: 10.92
Sensor 0: 16.31
Sensor 1: -0.26
Sensor 2: -1.36
Sensor 3: 31.15
Sensor 0: 4.44
Sensor 1: -3.17
Sensor 2: -7.93
Sensor 3: 12.22
Sensor 0: 1.16
Sensor 1: 1.48
Sensor 2: -9.19
Sensor 3: 4.47
Sensor 0: 4.44
Sensor 1: 3.35
Sensor 2: -6.78
Sensor 3: 28.86
Sensor 0: 8.23
Sensor 1: -2.22
Sensor 2: -1.36
Sensor 3: 12.22
Sensor 0: 16.31
Sensor 1: -3.81
Sensor 2: -1.36
Sensor 3: 28.86
Sensor 0: 195.89
Sensor 1: -0.26
Sensor 2: -1.36
Sensor 3: 31.15
Sensor 0: 1595.70
Sensor 1: 12.95
Sensor 2: 157.17
Sensor 3: 1939.72
Sensor 0: 1055.01
Sensor 1: 17.84
Sensor 2: 90.72
Sensor 3: 1850.78
Sensor 0: 244.52
Sensor 1: 3.96
Sensor 2: 16.03
Sensor 3: 210.23
Sensor 0: 4.65
Sensor 1: 0.28
Sensor 2: -7.02
Sensor 3: 13.84
Sensor 0: -4.57
Sensor 1: 4.82
Sensor 2: -6.98
Sensor 3: 9.99
Sensor 0: -2.82
Sensor 1: 6.20
Sensor 2: 14.29
Sensor 3: 11.62
Sensor 0: 18.97
Sensor 1: 6.20
Sensor 2: 16.03
Sensor 3: 27.36
Sensor 0: 41.82
Sensor 1: 6.20
Sensor 2: 16.03
Sensor 3: 52.03
Sensor 0: 55.64
Sensor 1: 6.20
Sensor 2: 16.03
Sensor 3: 80.92
Sensor 0: 66.94
Sensor 1: 69.62
Sensor 2: 302.42
Sensor 3: 27.36
Sensor 0: 77.69
Sensor 1: 1362.91
Sensor 2: 2088.60
Sensor 3: 52.03
Sensor 0: 58.59
Sensor 1: 1655.39
Sensor 2: 2017.04
Sensor 3: 200.41
Sensor 0: 55.64
Sensor 1: 1167.80
Sensor 2: 808.27
Sensor 3: 83.58
Sensor 0: 55.64
Sensor 1: 270.46
Sensor 2: 71.44
Sensor 3: 18.66
Sensor 0: -6.10
Sensor 1: 16.39
Sensor 2: 9.31
Sensor 3: 12.73
Sensor 0: 120.45
Sensor 1: 4.14
Sensor 2: 13.83
Sensor 3: 36.83
Sensor 0: 58.59
Sensor 1: -9.27
Sensor 2: 19.02
Sensor 3: 83.58
Sensor 0: 58.59
Sensor 1: -7.55
Sensor 2: 34.97
Sensor 3: 83.58
Sensor 0: 120.45
Sensor 1: -0.39
Sensor 2: 43.17
Sensor 3: 83.58
Sensor 0: 1276.19
Sensor 1: 4.16
Sensor 2: 43.03
Sensor 3: 1340.15
Sensor 0: 1264.35
Sensor 1: 10.67
Sensor 2: 48.01
Sensor 3: 1400.74
Sensor 0: 703.22
Sensor 1: 2.55
Sensor 2: 44.58
Sensor 3: 1242.43
Sensor 0: 1159.95
Sensor 1: 4.31
Sensor 2: 22.25
Sensor 3: 517.86
Sensor 0: 1159.95
Sensor 1: 11.47
Sensor 2: 43.03
Sensor 3: 1242.43
Sensor 0: -13.64
Sensor 1: 11.27
Sensor 2: 43.17
Sensor 3: 1242.43
Sensor 0: -20.02
Sensor 1: 5.44
Sensor 2: 44.58
Sensor 3: 636.33
Sensor 0: -32.26
Sensor 1: -0.93
Sensor 2: 48.01
Sensor 3: 1034.77
Sensor 0: -32.56
Sensor 1: 4.08
Sensor 2: 174.06
Sensor 3: 1081.53
Sensor 0: -21.06
Sensor 1: 5.44
Sensor 2: 1019.62
Sensor 3: 932.42
Sensor 0: -16.92
Sensor 1: 23.09
Sensor 2: 1118.94
Sensor 3: 1015.44
Sensor 0: -13.41
Sensor 1: 26.16
Sensor 2: 836.08
Sensor 3: 733.46
Sensor 0: -10.99
Sensor 1: 17.70
Sensor 2: 1019.62
Sensor 3: 932.42
Sensor 0: -10.03
Sensor 1: 11.23
Sensor 2: 1019.62
Sensor 3: 932.42
Sensor 0: -12.29
Sensor 1: 12.50
Sensor 2: -1.46
Sensor 3: 17.21
Sensor 0: -13.30
Sensor 1: 16.17
Sensor 2: -3.14
Sensor 3: 21.38
Sensor 0: -12.29
Sensor 1: 17.70
Sensor 2: -6.68
Sensor 3: 15.46
Sensor 0: -10.99
Sensor 1: 17.70
Sensor 2: -31.73
Sensor 3: -20.51
Sensor 0: -10.03
Sensor 1: 17.70
Sensor 2: -57.16
Sensor 3: -61.04
Sensor 0: 114.28
Sensor 1: 44.91
Sensor 2: -6.68
Sensor 3: 15.46
Sensor 0: 1483.45
Sensor 1: 1136.15
Sensor 2: -88.82
Sensor 3: -122.83
Sensor 0: 1597.28
Sensor 1: 1424.78
Sensor 2: -114.82
Sensor 3: -145.28
Sensor 0: 776.97
Sensor 1: 1086.74
Sensor 2: -100.58
Sensor 3: -123.99
Sensor 0: 105.51
Sensor 1: 266.63
Sensor 2: -37.32
Sensor 3: -50.47
Down edge ended
Sensor 0: 29.49
Sensor 1: 959.89
Sensor 2: -4.58
Sensor 3: -20.96
Press success
Sensor 0: 23.85
Sensor 1: -21.92
Sensor 2: 0.09
Sensor 3: -20.61
Sensor 0: 14.33
Sensor 1: -12.06
Sensor 2: -2.01
Sensor 3: -11.08
Sensor 0: 11.50
Sensor 1: -5.18
Sensor 2: -4.58
Sensor 3: -3.06
Sensor 0: 11.65
Sensor 1: -3.35
Sensor 2: -3.93
Sensor 3: -0.90
Sensor 0: 12.58
Sensor 1: -4.28
Sensor 2: -3.29
Sensor 3: -2.01
Sensor 0: 12.20
Sensor 1: -4.48
Sensor 2: -2.89
Sensor 3: -1.59
Sensor 0: 11.58
Sensor 1: -3.94
Sensor 2: -2.67
Sensor 3: -0.85
Sensor 0: 10.42
Sensor 1: -3.15
Sensor 2: -2.71
Sensor 3: 0.28
Sensor 0: 11.58
Sensor 1: -3.94
Sensor 2: -2.87
Sensor 3: 1.65
Sensor 0: 11.58
Sensor 1: -3.35
Sensor 2: -2.86
Sensor 3: -0.85
Sensor 0: 8.24
Sensor 1: -0.39
Sensor 2: -2.67
Sensor 3: 2.64
Sensor 0: 8.14
Sensor 1: 0.17
Sensor 2: -2.58
Sensor 3: 3.05
Sensor 0: 8.59
Sensor 1: 0.17
Sensor 2: -2.67
Sensor 3: 2.55
Sensor 0: 9.20
Sensor 1: -0.14
Sensor 2: -2.67
Sensor 3: 2.07
Sensor 0: 8.72
Sensor 1: -0.79
Sensor 2: -2.58
Sensor 3: 1.08
Sensor 0: 9.85
Sensor 1: -1.35
Sensor 2: -1.06
Sensor 3: 0.85
Sensor 0: 8.19
Sensor 1: 0.31
Sensor 2: -1.32
Sensor 3: 2.25
Sensor 0: 7.40
Sensor 1: 1.08
Sensor 2: -1.67
Sensor 3: 3.66
Sensor 0: 6.42
Sensor 1: 2.14
Sensor 2: -1.64
Sensor 3: 4.32
Sensor 0: 6.04
Sensor 1: 2.54
Sensor 2: -1.85
Sensor 3: 2.25
Sensor 0: 6.78
Sensor 1: 1.77
Sensor 2: -1.72
Sensor 3: 4.93
Sensor 0: 6.81
Sensor 1: 1.70
Sensor 2: -1.33
Sensor 3: 4.35
Sensor 0: 6.38
Sensor 1: 2.27
Sensor 2: -1.25
Sensor 3: 4.76
Sensor 0: 6.51
Sensor 1: 1.96
Sensor 2: -1.32
Sensor 3: 4.88
Sensor 0: 5.81
Sensor 1: 2.41
Sensor 2: -1.17
Sensor 3: 4.75
Sensor 0: 6.38
Sensor 1: 2.27
Sensor 2: -1.36
Sensor 3: 4.88
Sensor 0: 6.38
Sensor 1: 2.27
Sensor 2: -1.33
Sensor 3: 4.88
Sensor 0: 2.48
Sensor 1: 2.41
Sensor 2: -1.33
Sensor 3: 4.88
Sensor 0: 2.42
Sensor 1: 5.91
Sensor 2: -2.10
Sensor 3: 9.22
Sensor 0: 2.19
Sensor 1: 6.19
Sensor 2: -2.15
Sensor 3: 9.51
Sensor 0: 1.95
Sensor 1: 6.54
Sensor 2: -2.18
Sensor 3: 9.84
Sensor 0: 2.20
Sensor 1: 6.57
Sensor 2: -2.05
Sensor 3: 9.49
Sensor 0: 2.31
Sensor 1: 6.34
Sensor 2: -2.15
Sensor 3: 9.38
Sensor 0: 2.31
Sensor 1: 5.93
Sensor 2: -2.10
Sensor 3: 8.91
Sensor 0: 2.31
Sensor 1: 6.19
Sensor 2: -2.05
Sensor 3: 9.38
Sensor 0: 2.31
Sensor 1: 6.19
Sensor 2: -1.93
Sensor 3: 9.38
Sensor 0: 4.15
Sensor 1: 4.26
Sensor 2: -1.01
Sensor 3: 7.21
Sensor 0: 3.27
Sensor 1: 4.80
Sensor 2: -1.11
Sensor 3: 8.06
Sensor 0: 2.75
Sensor 1: 5.80
Sensor 2: -1.33
Sensor 3: 8.97
Sensor 0: 4.08
Sensor 1: 4.80
Sensor 2: -1.17
Sensor 3: 8.06
Sensor 0: 4.11
Sensor 1: 4.80
Sensor 2: -1.11
Sensor 3: 8.06
Sensor 0: 4.15
Sensor 1: 5.80
Sensor 2: -1.01
Sensor 3: 8.97
Sensor 0: 7.60
Sensor 1: 7.43
Sensor 2: 29.93
Sensor 3: 46.46
Up edge started
Sensor 0: 50.52
Sensor 1: 70.49
Sensor 2: 942.20
Sensor 3: 787.21
Up edge ended
Press start
Sensor 0: 45.96
Sensor 1: 73.54
Sensor 2: 832.53
Sensor 3: 693.90
Down edge started
Sensor 0: 21.76
Sensor 1: 59.99
Sensor 2: 689.28
Sensor 3: 547.71
Sensor 0: 43.67
Sensor 1: 29.08
Sensor 2: 283.49
Sensor 3: 217.98
Down edge ended
Press success
Sensor 0: 43.67
Sensor 1: 59.99
Sensor 2: 730.15
Sensor 3: 671.94
Sensor 0: 0.43
Sensor 1: 7.49
Sensor 2: -5.82
Sensor 3: 10.82
Sensor 0: -0.53
Sensor 1: 7.92
Sensor 2: -1.51
Sensor 3: 10.91
Sensor 0: 0.93
Sensor 1: 18.63
Sensor 2: 137.44
Sensor 3: 12.13
Sensor 0: 5.60
Sensor 1: 18.63
Sensor 2: 402.28
Sensor 3: 8.45
Sensor 0: 5.52
Sensor 1: 18.63
Sensor 2: 525.79
Sensor 3: 10.13
Sensor 0: 5.09
Sensor 1: 18.63
Sensor 2: 137.44
Sensor 3: 11.97
Up edge started
Sensor 0: -0.11
Sensor 1: 564.88
Sensor 2: 694.31
Sensor 3: 10.91
Up edge ended
Press start
Sensor 0: -4.45
Sensor 1: 523.49
Sensor 2: 474.25
Sensor 3: 19.15
Down edge started
Sensor 0: 0.32
Sensor 1: 296.02
Sensor 2: 131.30
Sensor 3: 11.60
Sensor 0: 4.40
Sensor 1: 59.52
Sensor 2: 3.18
Sensor 3: 6.46
Down edge ended
Press success
Sensor 0: 3.79
Sensor 1: 4.96
Sensor 2: 0.27
Sensor 3: 10.17
Sensor 0: 0.07
Sensor 1: 4.18
Sensor 2: 96.78
Sensor 3: 11.97
Sensor 0: -0.46
Sensor 1: 11.93
Sensor 2: 327.89
Sensor 3: 17.38
Sensor 0: 2.23
Sensor 1: 17.26
Sensor 2: 519.44
Sensor 3: 19.15
Sensor 0: 1.53
Sensor 1: 21.62
Sensor 2: 131.30
Sensor 3: 106.71
Up edge started
Sensor 0: 5.06
Sensor 1: 27.66
Sensor 2: 918.55
Sensor 3: 754.50
Up edge ended
Press start
Sensor 0: 2.23
Sensor 1: 25.33
Sensor 2: 718.54
Sensor 3: 556.75
Down edge started
Sensor 0: 2.72
Sensor 1: 10.67
Sensor 2: 240.74
Sensor 3: 173.94
Sensor 0: -2.21
Sensor 1: 9.72
Sensor 2: 7.91
Sensor 3: 19.27
Down edge ended
Press success
Sensor 0: -5.79
Sensor 1: 13.25
Sensor 2: -8.53
Sensor 3: 14.99
Sensor 0: 2.72
Sensor 1: 15.71
Sensor 2: -10.41
Sensor 3: 19.70
Sensor 0: 5.06
Sensor 1: 21.43
Sensor 2: 1.45
Sensor 3: 139.36
Sensor 0: 9.61
Sensor 1: 24.42
Sensor 2: 54.77
Sensor 3: 530.50
Sensor 0: 218.96
Sensor 1: 14.92
Sensor 2: 76.87
Sensor 3: 582.24
Sensor 0: 10.88
Sensor 1: 9.43
Sensor 2: -11.86
Sensor 3: 167.91
Sensor 0: 1.76
Sensor 1: 13.86
Sensor 2: -7.81
Sensor 3: 18.48
Sensor 0: 11.16
Sensor 1: 22.28
Sensor 2: -4.99
Sensor 3: 24.57
Sensor 0: 33.30
Sensor 1: 33.10
Sensor 2: 43.26
Sensor 3: 69.12
Sensor 0: 53.29
Sensor 1: 22.28
Sensor 2: 105.85
Sensor 3: 91.55
Sensor 0: 20.98
Sensor 1: 35.20
Sensor 2: 13.61
Sensor 3: 33.12
Sensor 0: 25.80
Sensor 1: 39.61
Sensor 2: 20.48
Sensor 3: 41.03
Sensor 0: 24.09
Sensor 1: 24.59
Sensor 2: -0.39
Sensor 3: 33.76
Sensor 0: 38.67
Sensor 1: 40.30
Sensor 2: 29.75
Sensor 3: 57.82
Sensor 0: 18.19
Sensor 1: 22.33
Sensor 2: -0.73
Sensor 3: 28.32
Sensor 0: 15.84
Sensor 1: 19.01
Sensor 2: -4.39
Sensor 3: 32.25
Sensor 0: 14.25
Sensor 1: 12.71
Sensor 2: -15.73
Sensor 3: 23.63
Sensor 0: 22.02
Sensor 1: 16.47
Sensor 2: -9.73
Sensor 3: 44.49
Sensor 0: 14.97
Sensor 1: 13.37
Sensor 2: -17.21
Sensor 3: 30.21
Sensor 0: 14.87
Sensor 1: 13.59
Sensor 2: -15.85
Sensor 3: 41.57
Sensor 0: 21.83
Sensor 1: 12.68
Sensor 2: -18.73
Sensor 3: 33.37
Sensor 0: 18.53
Sensor 1: 15.71
Sensor 2: -9.33
Sensor 3: 33.37
Sensor 0: 14.72
Sensor 1: 12.70
Sensor 2: -16.61
Sensor 3: 25.39
Sensor 0: 12.18
Sensor 1: 13.59
Sensor 2: -15.85
Sensor 3: 37.64
Sensor 0: 13.83
Sensor 1: 16.96
Sensor 2: -11.81
Sensor 3: 23.12
Sensor 0: 21.94
Sensor 1: 15.71
Sensor 2: -11.81
Sensor 3: 34.69
Sensor 0: 18.53
Sensor 1: 11.16
Sensor 2: 7.83
Sensor 3: 11.82
Sensor 0: 18.53
Sensor 1: 11.78
Sensor 2: -2.07
Sensor 3: 3.55
Sensor 0: 21.94
Sensor 1: 12.70
Sensor 2: 7.83
Sensor 3: 23.12
Sensor 0: 33.17
Sensor 1: 11.78
Sensor 2: 13.49
Sensor 3: 11.82
Sensor 0: 125.81
Sensor 1: 11.16
Sensor 2: 96.48
Sensor 3: -74.88
Sensor 0: 140.87
Sensor 1: -86.38
Sensor 2: 115.88
Sensor 3: -59.00
Sensor 0: 113.72
Sensor 1: -89.06
Sensor 2: 97.87
Sensor 3: -98.11
Sensor 0: 107.76
Sensor 1: -98.12
Sensor 2: 92.89
Sensor 3: -102.54
Sensor 0: 105.69
Sensor 1: -98.37
Sensor 2: 108.50
Sensor 3: -98.75
Sensor 0: 113.72
Sensor 1: -85.74
Sensor 2: 102.47
Sensor 3: -74.88
Sensor 0: 107.76
Sensor 1: -86.38
Sensor 2: 108.50
Sensor 3: -74.88
Up edge started
Sensor 0: 49.39
Sensor 1: -86.38
Sensor 2: 1302.20
Sensor 3: 84.04
Up edge ended
